<Source>IBANDL plus, Nuno P. Barradas fit </Source>, 
<Created> File created 09-10-2009 17:17:27 by Nuno P. Barradas</Created> 
<Comment> </Comment>
<Reaction> </Reaction>
<EnergyRange> </EnergyRange>
<AnglesNumber> 20 </AnglesNumber>
<EnergiesNumber> 91</EnergiesNumber>
<Data>
,01, 05, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 89, 90
1000, 1.242, 1.24, 1.232, 1.22, 1.203, 1.183, 1.16, 1.135, 1.11, 1.085, 1.062, 1.041, 1.023, 1.01, 1.001, 0.997, 0.997, 0.999, 1, 1
1100, 1.314, 1.311, 1.301, 1.284, 1.262, 1.235, 1.205, 1.173, 1.14, 1.108, 1.078, 1.052, 1.03, 1.013, 1.002, 0.997, 0.996, 0.999, 1, 1
1200, 1.398, 1.394, 1.38, 1.359, 1.33, 1.295, 1.256, 1.215, 1.174, 1.134, 1.097, 1.064, 1.037, 1.017, 1.004, 0.997, 0.996, 0.998, 1, 1
1300, 1.494, 1.488, 1.471, 1.443, 1.406, 1.362, 1.314, 1.262, 1.211, 1.162, 1.117, 1.077, 1.045, 1.021, 1.005, 0.997, 0.995, 0.998, 1, 1
1400, 1.603, 1.596, 1.574, 1.539, 1.492, 1.438, 1.377, 1.314, 1.252, 1.192, 1.138, 1.091, 1.053, 1.025, 1.007, 0.997, 0.995, 0.998, 1, 1
1500, 1.726, 1.717, 1.69, 1.646, 1.588, 1.521, 1.447, 1.371, 1.295, 1.224, 1.161, 1.106, 1.062, 1.029, 1.008, 0.997, 0.995, 0.998, 1, 1
1600, 1.864, 1.853, 1.819, 1.765, 1.695, 1.613, 1.524, 1.432, 1.343, 1.259, 1.184, 1.121, 1.071, 1.034, 1.009, 0.997, 0.994, 0.997, 1, 1
1700, 2.019, 2.005, 1.964, 1.898, 1.813, 1.714, 1.608, 1.499, 1.393, 1.296, 1.209, 1.137, 1.079, 1.038, 1.011, 0.997, 0.994, 0.997, 1, 1
1800, 2.191, 2.175, 2.125, 2.046, 1.943, 1.825, 1.699, 1.571, 1.447, 1.334, 1.235, 1.153, 1.088, 1.042, 1.012, 0.997, 0.994, 0.997, 1, 1
1900, 2.383, 2.363, 2.303, 2.208, 2.086, 1.946, 1.797, 1.648, 1.505, 1.375, 1.262, 1.169, 1.097, 1.045, 1.013, 0.997, 0.993, 0.997, 1, 1
2000, 2.596, 2.572, 2.5, 2.388, 2.244, 2.079, 1.904, 1.73, 1.566, 1.417, 1.29, 1.185, 1.105, 1.049, 1.013, 0.996, 0.993, 0.997, 1, 1
2100, 2.832, 2.803, 2.718, 2.585, 2.416, 2.223, 2.02, 1.819, 1.63, 1.462, 1.318, 1.202, 1.113, 1.051, 1.014, 0.995, 0.992, 0.996, 1, 1
2200, 3.092, 3.059, 2.959, 2.802, 2.603, 2.379, 2.144, 1.914, 1.699, 1.508, 1.347, 1.218, 1.121, 1.054, 1.013, 0.994, 0.991, 0.996, 1, 1
2300, 3.38, 3.341, 3.223, 3.04, 2.809, 2.548, 2.278, 2.014, 1.771, 1.556, 1.377, 1.234, 1.128, 1.056, 1.013, 0.993, 0.99, 0.996, 1, 1
2400, 3.696, 3.651, 3.514, 3.301, 3.032, 2.732, 2.422, 2.122, 1.847, 1.607, 1.407, 1.25, 1.135, 1.057, 1.012, 0.992, 0.989, 0.996, 1, 1
2500, 4.045, 3.992, 3.832, 3.586, 3.276, 2.931, 2.577, 2.237, 1.927, 1.659, 1.438, 1.266, 1.141, 1.058, 1.01, 0.99, 0.988, 0.995, 1, 1
2600, 4.428, 4.367, 4.182, 3.897, 3.541, 3.146, 2.743, 2.358, 2.011, 1.713, 1.469, 1.282, 1.146, 1.057, 1.008, 0.987, 0.987, 0.995, 1, 1
2700, 4.849, 4.778, 4.565, 4.237, 3.829, 3.378, 2.921, 2.488, 2.1, 1.769, 1.501, 1.297, 1.151, 1.057, 1.005, 0.985, 0.985, 0.995, 1, 1
2800, 5.311, 5.229, 4.984, 4.608, 4.141, 3.629, 3.112, 2.626, 2.193, 1.827, 1.533, 1.311, 1.155, 1.055, 1.001, 0.982, 0.984, 0.994, 1, 1
2900, 5.817, 5.724, 5.443, 5.012, 4.48, 3.899, 3.317, 2.772, 2.29, 1.887, 1.566, 1.325, 1.158, 1.052, 0.997, 0.978, 0.982, 0.994, 1, 1
3000, 6.371, 6.264, 5.943, 5.452, 4.848, 4.191, 3.536, 2.927, 2.393, 1.949, 1.599, 1.339, 1.16, 1.049, 0.992, 0.974, 0.98, 0.993, 1, 1
3100, 6.978, 6.855, 6.489, 5.931, 5.247, 4.505, 3.771, 3.092, 2.501, 2.013, 1.632, 1.352, 1.161, 1.044, 0.986, 0.969, 0.977, 0.993, 1, 1
3200, 7.64, 7.501, 7.085, 6.452, 5.678, 4.844, 4.021, 3.266, 2.614, 2.08, 1.666, 1.364, 1.161, 1.039, 0.979, 0.964, 0.975, 0.992, 1, 1
3300, 8.364, 8.206, 7.734, 7.018, 6.145, 5.208, 4.29, 3.452, 2.733, 2.149, 1.7, 1.376, 1.16, 1.032, 0.972, 0.958, 0.972, 0.992, 1, 1
3400, 9.154, 8.975, 8.441, 7.633, 6.65, 5.6, 4.577, 3.648, 2.857, 2.22, 1.734, 1.387, 1.158, 1.024, 0.963, 0.952, 0.968, 0.991, 1, 1
3500, 10.016, 9.813, 9.21, 8.299, 7.196, 6.022, 4.883, 3.857, 2.988, 2.294, 1.769, 1.398, 1.155, 1.015, 0.953, 0.945, 0.965, 0.99, 1, 1
3600, 10.955, 10.726, 10.047, 9.022, 7.786, 6.475, 5.211, 4.078, 3.126, 2.37, 1.805, 1.407, 1.15, 1.005, 0.943, 0.937, 0.961, 0.989, 1, 1
3700, 11.977, 11.72, 10.956, 9.806, 8.422, 6.962, 5.561, 4.313, 3.27, 2.45, 1.84, 1.416, 1.145, 0.994, 0.932, 0.929, 0.957, 0.988, 1, 1
3800, 13.09, 12.801, 11.943, 10.655, 9.11, 7.486, 5.934, 4.561, 3.422, 2.532, 1.877, 1.424, 1.138, 0.981, 0.919, 0.92, 0.952, 0.987, 1, 1
3900, 14.3, 13.976, 13.015, 11.574, 9.851, 8.047, 6.333, 4.825, 3.582, 2.618, 1.913, 1.432, 1.13, 0.968, 0.905, 0.91, 0.947, 0.986, 1, 1
4000, 15.615, 15.252, 14.177, 12.569, 10.65, 8.65, 6.759, 5.104, 3.75, 2.707, 1.951, 1.439, 1.122, 0.953, 0.891, 0.899, 0.942, 0.985, 1, 1
4100, 17.044, 16.638, 15.437, 13.644, 11.512, 9.297, 7.213, 5.4, 3.926, 2.8, 1.99, 1.446, 1.112, 0.936, 0.875, 0.888, 0.936, 0.983, 1, 1
4200, 18.594, 18.14, 16.801, 14.806, 12.439, 9.991, 7.698, 5.714, 4.112, 2.897, 2.029, 1.452, 1.101, 0.919, 0.858, 0.875, 0.93, 0.982, 1, 1
4300, 20.275, 19.769, 18.278, 16.061, 13.438, 10.735, 8.215, 6.047, 4.308, 2.998, 2.07, 1.458, 1.089, 0.901, 0.84, 0.862, 0.923, 0.98, 1, 1
4400, 22.096, 21.534, 19.876, 17.415, 14.512, 11.532, 8.766, 6.4, 4.514, 3.103, 2.112, 1.463, 1.076, 0.881, 0.822, 0.848, 0.916, 0.979, 1, 1
4500, 24.069, 23.444, 21.603, 18.875, 15.667, 12.385, 9.353, 6.775, 4.731, 3.214, 2.156, 1.469, 1.063, 0.861, 0.802, 0.834, 0.908, 0.977, 1, 1
